Name,BR ID,Hit streaks (old to new),No hit streaks (old to new),Avg. hit streak-length,Avg. no-hit streak-length,Current hit streak type,Current hit streak,Strikeout streaks (old to new),No strikeout streaks (old to new),Avg. strikeout streak length,Avg. no strikeout streak length,Current strikeout streak type,Current strikeout streak,Exception Message
Jacob Stallings,stallja01,"[1, 2, 2, 1, 1, 1, 2, 1, 2, 2, 1, 2, 4, 1, 2, 1, 3, 1, 3, 2, 1]","[4, 1, 3, 4, 1, 1, 1, 2, 1, 1, 1, 1, 4, 2, 10, 2, 1, 1, 2, 1, 4]",1.7142857142857142,2.2857142857142856,dry streak,4,"[5, 3, 1, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 1, 1, 2, 4, 2, 1]","[2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 6, 1, 1, 4, 1, 1, 1, 1]",2.130434782608696,1.5909090909090908,strikeout streak,1,
Anthony Rizzo,rizzoan01,"[6, 3, 7, 2, 4, 8, 4, 5, 3, 1, 1, 2, 1, 3, 1, 1, 2, 1, 4, 2, 2, 2]","[1, 1, 1, 2, 2, 1, 2, 1, 1, 6, 1, 1, 1, 1, 1, 1, 2, 1, 4, 2, 1]",2.9545454545454546,1.619047619047619,hit streak,2,"[2, 2, 2, 1, 2, 1, 5, 2, 3, 1, 1, 1, 2, 4, 6, 1, 3, 1, 4, 5, 8, 1, 1, 2]","[2, 1, 3, 1, 2, 1, 1, 3, 2, 1, 1, 1, 1, 2, 2, 1, 4, 1, 2, 2, 1, 1, 1, 1]",2.5416666666666665,1.5833333333333333,no strikeout streak,1,
Tyler Stephenson,stephty01,"[7, 2, 1, 1, 5, 4, 2, 2, 3, 2, 1, 1, 2, 1, 1, 3, 4, 2, 1, 4, 4, 3, 1, 2, 1, 1, 4, 2, 2, 1, 4, 2, 1, 1, 1]","[1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 2, 2, 1, 1, 7, 1, 1, 1, 3, 4, 1, 1, 2, 2, 1, 1, 1, 3, 1]",2.257142857142857,1.6388888888888888,dry streak,1,"[1, 3, 7, 5, 1, 3, 4, 5, 1, 1, 5, 2, 4, 1, 9, 1, 6, 1, 1, 3, 1, 1, 4, 2, 5, 2, 3, 2, 2, 1]","[2, 1, 2, 2, 1, 3, 2, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 3, 1, 2, 2, 1, 1, 1, 3, 5, 1, 3, 1]",2.9,1.7586206896551724,strikeout streak,1,
Nick Ahmed,ahmedni01,"[1, 6, 2, 1, 5, 3, 2, 1, 1, 4, 1, 1, 4, 1]","[1, 2, 1, 7, 6, 2, 1, 2, 1, 3, 2, 2, 4, 5]",2.357142857142857,2.7857142857142856,dry streak,5,"[1, 1, 1, 2, 1, 1, 1, 2, 4, 1, 1, 2, 2, 3, 2, 2, 1, 2, 4, 1, 3, 2]","[1, 2, 2, 3, 1, 2, 1, 3, 1, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 1, 1]",1.8181818181818181,1.5238095238095237,strikeout streak,2,
Josh Bell,belljo02,"[1, 2, 7, 3, 1, 2, 2, 3, 8, 1, 7, 3, 3, 1, 2, 1, 1, 3, 2, 7, 1, 2, 1, 8, 1, 5, 1, 1, 1, 8, 2, 2, 2, 2]","[4, 3, 1, 1, 1, 2, 1, 2, 1, 3, 2, 3, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",2.8529411764705883,1.4545454545454546,hit streak,2,"[10, 6, 3, 2, 1, 5, 2, 4, 1, 4, 2, 2, 3, 1, 6, 2, 1, 2, 2, 2, 1, 8, 1, 2, 2, 3, 2, 4, 2, 8, 2]","[1, 3, 1, 1, 4, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 3, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2]",3.096774193548387,1.5806451612903225,strikeout streak,2,
Mike Ford,fordmi01,"[1, 2, 1, 1, 2, 4, 1, 2, 1, 2, 1, 1, 1, 2, 1, 3, 2, 2, 1, 2]","[3, 1, 8, 1, 1, 2, 1, 3, 1, 1, 4, 5, 1, 1, 2, 2, 1, 2, 3, 2]",1.65,2.25,dry streak,2,"[3, 1, 5, 1, 3, 1, 4, 2, 2, 1, 8, 1, 1, 1, 2, 2, 7, 1, 3]","[1, 3, 1, 2, 1, 1, 4, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1]",2.5789473684210527,1.6111111111111112,strikeout streak,3,
Ramon Urias,uriasra01,"[1, 1, 2, 3, 1, 2, 3, 2, 2, 1, 1, 1, 2, 3, 1, 3, 1, 5, 1, 2, 6, 6, 4, 7, 1, 1, 2]","[1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 4, 1, 1, 1, 2, 2, 1, 1, 4, 1, 1, 4, 1, 4, 4]",2.4074074074074074,1.8076923076923077,hit streak,2,"[1, 1, 3, 3, 3, 2, 2, 3, 5, 1, 1, 1, 2, 4, 3, 1, 3, 2, 1, 4, 2, 2, 3, 4, 2, 1, 1, 1, 2, 1]","[1, 1, 1, 1, 1, 4, 1, 1, 2, 2, 2, 1, 1, 1, 3, 1, 2, 1, 2, 1, 1, 3, 2, 3, 3, 1, 1, 1, 1, 1]",2.1666666666666665,1.5666666666666667,strikeout streak,1,
Eric Haase,haaseer01,"[1, 2, 4, 3, 1, 7, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[2, 1, 1, 3, 1, 2, 3, 2, 2, 4, 4, 1, 3, 1, 2, 2, 2, 2, 1, 5, 1, 1, 2, 1]",1.7391304347826086,2.0416666666666665,dry streak,1,"[6, 1, 2, 4, 2, 1, 1, 5, 1, 1, 1, 1, 5, 1, 2, 1, 1, 4, 3, 4, 1, 2, 3]","[2, 5, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 1, 3, 1]",2.3043478260869565,1.565217391304348,strikeout streak,3,
Giancarlo Stanton,stantmi03,"[3, 6, 4, 1, 1, 1, 2, 3, 2, 1, 2, 1, 2, 2, 4, 3, 1, 1, 2, 3, 3, 1, 1, 1]","[1, 1, 2, 2, 1, 5, 1, 1, 2, 1, 3, 1, 3, 2, 2, 1, 3, 4, 1, 1, 3, 3, 3]",2.125,2.0434782608695654,hit streak,1,"[1, 1, 6, 4, 12, 1, 2, 1, 1, 1, 2, 2, 3, 2, 7, 3, 2, 14, 6]","[2, 3, 1, 2, 3, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",3.736842105263158,1.5,strikeout streak,6,
Ian Happ,happia01,"[2, 5, 1, 1, 4, 2, 3, 1, 1, 4, 3, 1, 2, 2, 1, 2, 3, 1, 1, 4, 3, 4, 1, 1, 2, 5, 2, 3, 3, 1, 6, 10, 1, 1, 1, 7, 2]","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 2, 2, 1, 1, 1, 3, 5, 1, 3, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 3, 1]",2.6216216216216215,1.5555555555555556,hit streak,2,"[9, 1, 2, 2, 4, 1, 1, 5, 10, 3, 2, 4, 3, 4, 5, 3, 2, 2, 4, 4, 6, 1, 2, 1, 1, 3, 1, 3, 5, 1, 1, 1, 5]","[1, 1, 1, 1, 2, 2, 1, 3, 2, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 3, 1, 3, 4, 1, 2, 1, 1, 1, 2]",3.090909090909091,1.59375,strikeout streak,5,
Luis Urias,uriaslu01,"[1, 2, 2, 1, 1, 3, 3, 1, 2, 5, 1, 1]","[4, 3, 1, 2, 1, 2, 4, 2, 3, 4, 2, 1]",1.9166666666666667,2.4166666666666665,hit streak,1,"[3, 3, 2, 2, 3, 1, 1, 3, 1, 1, 1, 1, 7, 1]","[1, 2, 1, 1, 4, 1, 1, 1, 2, 1, 2, 3, 1, 1]",2.142857142857143,1.5714285714285714,strikeout streak,1,
Nick Castellanos,casteni01,"[2, 1, 6, 2, 8, 1, 1, 2, 3, 1, 2, 2, 1, 4, 5, 2, 7, 2, 2, 3, 1, 2, 1, 3, 2, 1, 13, 1, 3, 4, 2, 2, 1, 2, 7, 5]","[4, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1]",2.9722222222222223,1.3142857142857143,hit streak,5,"[15, 2, 1, 7, 9, 1, 4, 4, 15, 2, 1, 6, 2, 5, 5, 1, 6, 1, 11, 5, 2, 3, 2, 3, 3]","[1, 1, 6, 1, 1, 1, 1, 3, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1]",4.64,1.5416666666666667,strikeout streak,3,
Kolten Wong,wongko01,"[1, 2, 1, 2, 4, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1]","[1, 5, 4, 3, 1, 3, 3, 6, 2, 1, 1, 2, 2, 2, 3, 1, 1, 1, 4, 1, 2, 3]",1.380952380952381,2.3636363636363638,dry streak,3,"[1, 4, 2, 2, 1, 3, 2, 2, 3, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1]","[1, 1, 2, 1, 1, 3, 1, 2, 4, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 3, 1, 4, 1, 1]",1.6666666666666667,1.64,no strikeout streak,1,
Carlos Santana,santaca01,"[1, 3, 1, 2, 4, 6, 2, 1, 2, 4, 1, 2, 2, 2, 1, 3, 3, 4, 2, 1, 1, 1, 2, 3, 1, 2, 4, 1, 2, 12, 1, 2, 1, 2, 1, 1, 3]","[1, 3, 1, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 3, 2, 1, 2, 1, 1, 1, 1, 3, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1]",2.3513513513513513,1.4594594594594594,hit streak,3,"[2, 7, 6, 2, 1, 1, 2, 1, 1, 2, 1, 3, 2, 1, 1, 1, 3, 1, 3, 1, 2, 5, 1, 3, 1, 2, 3, 1, 2, 2, 3, 2, 1, 2, 3, 1, 2, 1]","[1, 1, 1, 1, 5, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 3, 2, 3, 2, 3, 1, 1, 1, 2, 1, 1, 1, 3, 1, 2, 2, 3, 3]",2.0789473684210527,1.6756756756756757,strikeout streak,1,
Mitch Garver,garvemi01,"[4, 4, 2, 2, 2, 3, 4, 8, 6, 1, 4, 3, 3, 2, 1, 5]","[2, 2, 2, 2, 1, 3, 1, 2, 3, 1, 3, 1, 1, 1, 3]",3.375,1.8666666666666667,hit streak,5,"[1, 7, 2, 4, 1, 2, 2, 1, 6, 6, 1, 4, 4, 2, 1, 7, 1]","[1, 2, 1, 1, 1, 3, 1, 3, 1, 1, 2, 3, 4, 1, 3, 1, 1]",3.0588235294117645,1.7647058823529411,no strikeout streak,1,
Max Kepler,keplema01,"[1, 3, 1, 1, 3, 4, 1, 3, 1, 1, 1, 4, 2, 2, 6, 1, 3, 2, 1, 5, 2, 4, 1, 5, 2, 1, 2, 8, 1]","[3, 2, 1, 1, 1, 2, 2, 4, 3, 2, 2, 3, 5, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2]",2.4827586206896552,1.8275862068965518,hit streak,1,"[1, 1, 3, 3, 3, 1, 4, 2, 2, 2, 7, 1, 1, 2, 9, 3, 1, 1, 5, 1, 5, 1, 4, 1, 1, 1, 2, 5, 2, 4, 2]","[1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 6, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1]",2.6129032258064515,1.4193548387096775,no strikeout streak,1,
Nelson Cruz,cruzne02,"[3, 4, 1, 1, 2, 1, 2, 1, 1, 1, 1, 4, 1]","[2, 1, 1, 3, 1, 1, 4, 3, 1, 3, 1, 2, 1, 2]",1.7692307692307692,1.8571428571428572,dry streak,2,"[3, 1, 2, 5, 3, 2, 1, 1, 3, 1, 1, 1, 3, 2]","[2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 4]",2.0714285714285716,1.5384615384615385,strikeout streak,2,
Paul Goldschmidt,goldspa01,"[5, 6, 3, 4, 4, 2, 1, 3, 2, 1, 3, 1, 3, 1, 5, 4, 2, 1, 2, 2, 2, 3, 2, 4, 3, 3, 2, 5, 1, 3, 3, 1, 3, 2, 3, 3]","[2, 1, 3, 1, 1, 1, 1, 1, 4, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 2]",2.7222222222222223,1.4722222222222223,dry streak,2,"[2, 1, 1, 1, 3, 6, 5, 4, 1, 2, 7, 3, 2, 7, 2, 4, 4, 1, 3, 4, 2, 4, 3, 4, 1, 6, 7, 17, 1]","[2, 1, 1, 2, 2, 6, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 1, 1]",3.7241379310344827,1.5357142857142858,strikeout streak,1,
Ramon Laureano,laurera01,"[4, 1, 3, 2, 2, 3, 1, 3, 2, 1, 11, 1, 1, 3, 1, 2, 1, 1, 2, 3, 3, 1, 4, 2, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 2, 2, 4, 3, 2, 1, 3, 1, 1, 2, 2, 1, 1, 2]",2.36,1.68,hit streak,1,"[3, 4, 2, 2, 3, 3, 7, 7, 15, 1, 1, 3, 4, 2, 7, 5, 3, 2]","[1, 2, 1, 1, 1, 1, 1, 4, 1, 1, 2, 1, 4, 1, 1, 3, 1]",4.111111111111111,1.588235294117647,strikeout streak,2,
Victor Caratini,caratvi01,"[2, 2, 1, 1, 1, 1, 1, 3, 2, 2, 3, 3, 1, 1, 1, 3, 1, 2]","[1, 3, 1, 1, 1, 3, 2, 1, 2, 1, 3, 1, 2, 1, 1, 1, 1, 1]",1.7222222222222223,1.5,dry streak,1,"[1, 1, 1, 2, 1, 6, 1, 1, 2, 1, 1, 1, 2, 1, 2, 4, 2]","[1, 2, 1, 2, 1, 4, 2, 1, 1, 1, 1, 1, 1, 3, 1, 2, 3]",1.7647058823529411,1.6470588235294117,no strikeout streak,3,
Nolan Gorman,gormano01,"[5, 3, 4, 1, 3, 2, 1, 15, 1, 2, 1, 1, 1, 3, 1, 3, 5, 1, 1, 1, 5, 1, 1, 4, 1, 1]","[2, 1, 1, 1, 1, 2, 4, 2, 2, 1, 2, 2, 6, 1, 4, 3, 2, 1, 1, 2, 2, 4, 2, 1, 1]",2.6153846153846154,2.04,hit streak,1,"[1, 4, 1, 4, 9, 1, 1, 1, 4, 6, 5, 3, 9, 1, 3, 7, 1, 1, 1, 18, 3, 2]","[1, 1, 2, 2, 1, 1, 3, 4, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2]",3.909090909090909,1.5,no strikeout streak,2,
Randal Grichuk,grichra01,"[12, 1, 2, 1, 4, 4, 2, 1, 2, 4, 2, 1, 9, 2, 3, 2, 1, 1, 1, 1, 1, 1, 3, 10, 2, 5]","[1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 1, 4, 1, 1, 1, 1]",3.0,1.4,hit streak,5,"[3, 1, 4, 1, 3, 1, 4, 2, 3, 2, 8, 4, 1, 1, 1, 6, 3, 1, 4, 2, 5, 1, 2, 1, 1, 5, 2]","[1, 2, 1, 3, 2, 1, 1, 1, 1, 1, 1, 4, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 3, 1, 1]",2.6666666666666665,1.5185185185185186,no strikeout streak,1,
Cedric Mullins,mullice01,"[3, 1, 1, 6, 1, 4, 2, 4, 3, 2, 6, 1, 2, 1, 1, 2, 3, 3, 3, 1, 2, 3, 1, 2, 3, 2, 1]","[1, 2, 3, 1, 2, 2, 1, 1, 1, 1, 3, 2, 1, 3, 1, 1, 2, 1, 2, 2, 2, 3, 1, 2, 1, 4]",2.3703703703703702,1.7692307692307692,hit streak,1,"[1, 3, 1, 2, 3, 1, 1, 1, 1, 4, 3, 2, 1, 1, 2, 3, 9, 2, 2, 8, 4, 1, 2, 1, 1, 2, 9]","[2, 1, 1, 1, 1, 1, 3, 1, 2, 1, 3, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1]",2.6296296296296298,1.4444444444444444,no strikeout streak,1,
Josh Rojas,rojasjo01,"[5, 3, 2, 2, 3, 5, 1, 1, 1, 3, 1, 1, 1, 3, 6, 1, 1, 1, 2, 3, 1]","[2, 1, 1, 1, 4, 5, 2, 2, 2, 3, 2, 2, 8, 1, 2, 1, 1, 3, 3, 1, 5]",2.238095238095238,2.4761904761904763,hit streak,1,"[1, 1, 3, 2, 2, 2, 1, 1, 1, 2, 1, 1, 2, 6, 3, 2, 3, 1, 1, 5, 4, 6, 1, 1, 1]","[1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 4, 2, 1, 2, 1, 2, 1, 2, 4, 1, 5]",2.16,1.7307692307692308,no strikeout streak,5,
Starling Marte,martest01,"[3, 6, 1, 1, 2, 2, 4, 1, 5, 1, 1, 1, 3, 3, 8, 1, 1, 4, 1, 5, 1]","[2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2]",2.619047619047619,1.4761904761904763,dry streak,2,"[2, 2, 1, 1, 1, 3, 8, 1, 1, 2, 1, 1, 1, 1, 6, 3, 2, 2, 3, 2, 1, 3, 3]","[3, 2, 3, 1, 1, 2, 1, 1, 2, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1]",2.217391304347826,1.5217391304347827,strikeout streak,3,
Jose Abreu,abreujo02,"[10, 2, 3, 4, 2, 1, 1, 2, 1, 2, 2, 3, 2, 4, 4, 2, 2, 7, 4, 3, 2, 2, 1, 2, 2, 2, 4, 5, 1, 2, 1, 2]","[1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 3, 3, 1, 3, 2, 2, 1, 1]",2.71875,1.5806451612903225,hit streak,2,"[1, 1, 1, 2, 2, 2, 1, 6, 1, 3, 1, 5, 4, 2, 2, 9, 1, 4, 1, 1, 1, 4, 1, 6, 1, 1, 5, 2, 2, 1, 5, 6]","[1, 2, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 4, 1, 2, 4, 4, 1, 1]",2.65625,1.6451612903225807,strikeout streak,6,
Mike Moustakas,moustmi01,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 4, 2, 1, 1, 6, 10, 4, 2, 4, 1, 1, 2, 2, 1, 1, 1]","[2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 2, 1, 1, 1, 3, 1, 2, 4, 1, 1, 2, 1, 1]",1.9375,1.4545454545454546,dry streak,1,"[1, 1, 3, 1, 1, 1, 4, 2, 1, 2, 1, 2, 1, 1, 2, 4, 2, 3, 1, 4, 1, 2, 3, 1, 1, 1, 1, 2, 2, 2, 2, 1, 3, 3]","[1, 3, 2, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1]",1.8529411764705883,1.4242424242424243,strikeout streak,3,
Elias Diaz,diazel01,"[1, 1, 1, 9, 2, 3, 4, 2, 7, 4, 2, 1, 2, 5, 1, 1, 3, 1, 2, 1, 1, 2, 3, 3, 1, 1, 1, 4, 2, 3, 6, 3, 2]","[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 3, 1, 2, 1, 3, 1, 1, 1, 3, 1, 2, 1, 2, 2, 1, 3, 1, 2, 2, 1, 2, 1]",2.5757575757575757,1.5454545454545454,dry streak,1,"[2, 1, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2, 4, 3, 3, 4, 2, 3, 4, 1, 5, 1, 3, 3, 1, 4, 2, 2, 1, 2, 2, 3, 1, 1, 2]","[2, 5, 4, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 4, 1]",2.1621621621621623,1.5135135135135136,no strikeout streak,1,
Willson Contreras,contrwi01,"[4, 1, 1, 1, 4, 1, 2, 2, 2, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 2, 2, 1, 6, 3, 1, 2, 1, 7, 5, 1, 3, 8]","[2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 6, 2, 1, 1, 4, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 2, 1]",2.3125,1.59375,dry streak,1,"[1, 5, 5, 4, 1, 2, 3, 6, 2, 4, 1, 3, 2, 2, 1, 1, 2, 5, 3, 1, 1, 5, 2, 1, 1, 2, 5, 4, 1, 1, 1]","[5, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 3, 1, 1]",2.5161290322580645,1.5161290322580645,no strikeout streak,1,
Franmil Reyes,reyesfr01,"[1, 1, 2, 3]","[2, 2, 2, 1, 5]",1.75,2.4,dry streak,5,"[2, 1, 1, 7, 2]","[1, 2, 2, 1]",2.6,1.5,strikeout streak,2,
Brendan Rodgers,rodgebr02,"[2, 2, 1, 1, 4, 1, 4, 8, 1]","[1, 1, 2, 1, 4, 2, 3, 1]",2.6666666666666665,1.875,hit streak,1,"[3, 6, 5, 3, 1, 2, 1, 1, 4]","[2, 1, 1, 1, 2, 1, 1, 3, 1]",2.888888888888889,1.4444444444444444,no strikeout streak,1,
Jonathan India,indiajo01,"[3, 1, 8, 3, 2, 3, 8, 1, 1, 3, 4, 3, 7, 3, 1, 3, 1, 2, 2, 2, 2, 5, 5, 2, 2]","[1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 4]",3.08,1.5833333333333333,hit streak,2,"[2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 7, 3, 2, 4, 1, 1, 1, 1, 1, 1, 7, 3, 2, 11, 1, 2, 10]","[3, 1, 1, 3, 1, 2, 1, 3, 1, 2, 1, 1, 4, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2]",2.740740740740741,1.5185185185185186,no strikeout streak,2,
Bryan Reynolds,reynobr01,"[9, 2, 5, 11, 5, 2, 2, 1, 1, 1, 2, 7, 3, 2, 3, 1, 3, 8, 1, 4, 1, 3, 4, 2, 12, 4, 1, 2]","[1, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.642857142857143,1.3571428571428572,dry streak,1,"[1, 3, 1, 2, 5, 2, 1, 3, 3, 3, 1, 2, 2, 3, 1, 1, 4, 3, 1, 3, 1, 1, 9, 4, 1, 1, 7, 1, 6, 2, 2, 2, 4, 4]","[1, 3, 4, 2, 1, 1, 2, 2, 1, 4, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1]",2.6470588235294117,1.4705882352941178,no strikeout streak,1,
Luke Williams,willilu01,[1],"[2, 7]",1.0,4.5,dry streak,7,"[2, 1, 1]","[2, 1, 3]",1.3333333333333333,2.0,strikeout streak,1,
Jose Barrero,garcijo02,"[2, 2, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1, 1]","[2, 2, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 4, 2]",1.7692307692307692,1.6428571428571428,dry streak,2,"[1, 1, 1, 1, 2, 3, 5, 1, 1, 9, 2, 1]","[3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2]",2.3333333333333335,1.5,no strikeout streak,2,
Joey Bart,bartjo01,"[5, 1, 1, 2, 2, 1, 2]","[1, 2, 2, 1, 1, 1, 4, 4]",2.0,2.0,dry streak,4,"[6, 1, 3, 4, 3, 1, 1]","[1, 2, 1, 1, 2, 3, 1]",2.7142857142857144,1.5714285714285714,strikeout streak,1,
Avisail Garcia,garciav01,"[2, 2, 2, 1, 6, 1, 1]","[3, 4, 2, 1, 1, 1, 8, 2]",2.142857142857143,2.75,dry streak,2,"[5, 1, 3, 3, 1, 8, 4]","[1, 1, 3, 2, 2, 1, 1, 1]",3.5714285714285716,1.5,no strikeout streak,1,
Tyler Heineman,heinety01,"[1, 1, 1, 2, 1]","[3, 3, 1, 8]",1.2,3.75,hit streak,1,"[1, 1, 2, 2, 1, 1]","[1, 1, 1, 3, 3, 4]",1.3333333333333333,2.1666666666666665,strikeout streak,1,
Jared Walsh,walshja01,"[1, 1, 2, 1, 1, 1, 2, 3]","[1, 1, 5, 1, 9, 2, 2, 2, 2]",1.5,2.7777777777777777,dry streak,2,"[4, 2, 1, 3, 8, 1, 8]","[2, 1, 1, 2, 2, 2]",3.857142857142857,1.6666666666666667,strikeout streak,8,
J.P. Crawford,crawfjp01,"[1, 1, 2, 5, 4, 1, 1, 8, 2, 3, 6, 1, 3, 2, 1, 1, 10, 2, 3, 1, 6, 2, 2, 1, 2, 5, 3, 9, 3]","[3, 1, 3, 4, 3, 1, 1, 2, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 3, 1, 1]",3.1379310344827585,1.6551724137931034,dry streak,1,"[1, 3, 1, 2, 2, 1, 1, 1, 3, 2, 4, 2, 3, 2, 7, 1, 2, 1, 4, 9, 1, 4, 1, 7, 2, 5, 1, 8, 1, 2, 1, 2, 1, 1]","[1, 1, 1, 1, 1, 2, 2, 1, 3, 2, 1, 1, 2, 1, 1, 1, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1]",2.6176470588235294,1.4285714285714286,no strikeout streak,1,
Josh Lowe,lowejo01,"[4, 2, 6, 4, 1, 1, 1, 3, 4, 3, 1, 2, 1, 3, 1, 1, 6, 1, 1, 1, 2, 1, 2, 2, 1, 6, 4, 2, 1, 2, 3, 1, 3, 3, 4]","[1, 2, 1, 1, 1, 2, 1, 3, 1, 1, 1, 2, 1, 3, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1]",2.4,1.3823529411764706,hit streak,4,"[2, 1, 2, 2, 1, 9, 1, 1, 6, 2, 3, 2, 2, 1, 3, 2, 1, 6, 2, 5, 1, 1, 1, 1, 5, 1, 4, 1, 1, 2, 5, 4]","[4, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 3, 1, 1, 1, 1, 1, 4, 1, 2, 1, 1, 1, 1, 3, 2, 1, 1, 5, 1]",2.53125,1.6129032258064515,strikeout streak,4,
